Note,xcsource,ycsource,xc,yc,radcolsource,radcol,radcolold,brightness,,,,
0,296.057,698.5,-0.250488608,0.786445013,14.116,7.058,4,145,,xdimzise,395,790
1,479.027,694.027,0.212726582,0.775005115,14.331,7.1655,9,144,,ydimzise,391,782
2,288,623.941,-0.270886076,0.595757033,13.364,6.682,15,149,,xoffset,-0.5,
3,649.047,604.497,0.643156962,0.546028133,19.497,9.7485,2,147,,yoffset,-0.5,
4,599.5,576.5,0.517721519,0.474424552,12.748,6.374,20,145,,radcorr,0.5,
5,631.5,475.209,0.598734177,0.215368286,23.39,11.695,4,133,,,,
6,496.547,449.952,0.257081013,0.150772379,13.525,6.7625,12,146,,,,
7,115.621,445.957,-0.707288608,0.140554987,31.759,15.8795,16,153,,,,
8,692.277,414.497,0.7526,0.060094629,29.025,14.5125,16,138,,,,
9,604.86,360.346,0.531291139,-0.078398977,21.286,10.643,2,144,,,,
10,235.836,311.43,-0.402946835,-0.203503836,21.508,10.754,11,153,,,,
11,279.373,293.879,-0.292726582,-0.248391304,23.389,11.6945,11,150,,,,
12,632.117,292.428,0.600296203,-0.252102302,31.336,15.668,13,135,,,,
13,561.445,270.005,0.421379747,-0.309450128,14.094,7.047,17,141,,,,
14,288.83,249.164,-0.26878481,-0.362751918,15.926,7.963,9,156,,,,
15,555,244,0.405063291,-0.375959079,12.083,6.0415,6,142,,,,
16,344.111,256.854,-0.128832911,-0.343084399,27.805,13.9025,7,150,,,,
17,562.993,209.013,0.425298734,-0.465439898,28.263,14.1315,8,139,,,,
18,640.016,149.019,0.620293671,-0.618877238,14.318,7.159,3,124,,,,
19,168.759,164.767,-0.572762025,-0.578601023,37.481,18.7405,5,153,,,,
20,279.046,163.377,-0.29355443,-0.58215601,36.941,18.4705,6,153,,,,
21,257.003,102.003,-0.349359494,-0.739122762,13.413,6.7065,1,157,,,,
